# UniProt_ID,P30542
# Target_name,AA1R_HUMAN Adenosine receptor A1
# Molecules_screened,1687
# Generated_at,2025-08-21T21:44:09
#
Rank,Drug Name,Target Name,Binding Score
299,(2s)-3-(4-cyanophenoxy)-n-[4-cyano-3-(trifluoromethyl)phenyl]-2-hydroxy-2-methylpropanamide,AA1R_HUMAN,3235.28
300,adrafinil,AA1R_HUMAN,3251.85
301,hwg,AA1R_HUMAN,3259.49
302,tetradecylthioacetic acid,AA1R_HUMAN,3282.30
303,tgf-alpha,AA1R_HUMAN,3316.10
304,chromium gtf,AA1R_HUMAN,3323.47
305,neoxanthin,AA1R_HUMAN,3379.92
306,hypericum,AA1R_HUMAN,3477.41
307,progesterone,AA1R_HUMAN,3524.13
308,isosilybin,AA1R_HUMAN,3531.41
309,docosapentaenoic acid ethyl ester,AA1R_HUMAN,3536.42
310,emodin,AA1R_HUMAN,3591.96
311,opc,AA1R_HUMAN,3593.00
312,saponins,AA1R_HUMAN,3598.49
313,gkg,AA1R_HUMAN,3629.39
314,cyclodextrin,AA1R_HUMAN,3632.58
315,galangin,AA1R_HUMAN,3637.07
316,phenylpiracetam,AA1R_HUMAN,3640.57
317,bis picolinato oxo vanadium,AA1R_HUMAN,3691.51
318,probiotic,AA1R_HUMAN,3718.66
319,nadh,AA1R_HUMAN,3739.70
320,acetyl l-carnitine arginate,AA1R_HUMAN,3777.37
321,calcium folinate,AA1R_HUMAN,3787.63
322,para-aminobenzoate,AA1R_HUMAN,3860.05
323,delphinidin-3-rutinoside,AA1R_HUMAN,3897.34
324,epiandrosterone,AA1R_HUMAN,3907.63
325,diclofenac,AA1R_HUMAN,3932.21
326,escin,AA1R_HUMAN,3945.40
327,5-methoxytryptamine hcl,AA1R_HUMAN,3947.17
328,dim,AA1R_HUMAN,3963.28
329,alpha-pinene,AA1R_HUMAN,3984.14
330,corynine,AA1R_HUMAN,4009.79
331,intrinsic factor,AA1R_HUMAN,4022.48
332,acetogenins,AA1R_HUMAN,4054.72
333,baicalein,AA1R_HUMAN,4091.32
334,quatrefolic,AA1R_HUMAN,4150.46
335,d-beta-tocotrienol,AA1R_HUMAN,4188.09
336,ligustilide,AA1R_HUMAN,4211.53
337,eicosatetraenoic acid,AA1R_HUMAN,4211.96
338,diosgenin,AA1R_HUMAN,4226.20
339,wintergreen,AA1R_HUMAN,4334.90
340,lariciresinol,AA1R_HUMAN,4371.78
341,serrapeptase,AA1R_HUMAN,4409.60
342,diosmetin,AA1R_HUMAN,4483.12
343,carnosic acid,AA1R_HUMAN,4489.92
344,l-theanine,AA1R_HUMAN,4513.51
345,gamma cyclodextrin,AA1R_HUMAN,4522.86
346,enoxin,AA1R_HUMAN,4524.59
347,saponin,AA1R_HUMAN,4554.37
348,ipriflavone,AA1R_HUMAN,4596.07
349,phytol,AA1R_HUMAN,4626.58
350,d-delta-tocotrienol,AA1R_HUMAN,4663.19
351,glycodeoxycholic acid,AA1R_HUMAN,4669.14
352,triphosphate,AA1R_HUMAN,4742.02
353,phyllemblin,AA1R_HUMAN,4760.33
354,chondroitin sulfate,AA1R_HUMAN,4829.62
355,kava,AA1R_HUMAN,4890.40
356,geranyl acetate,AA1R_HUMAN,4974.17
357,cholesterol,AA1R_HUMAN,4999.41
358,quercetin dihydrate,AA1R_HUMAN,5023.31
359,petunidin,AA1R_HUMAN,5026.11
360,phytofluene,AA1R_HUMAN,5054.02
361,fd&c red 40,AA1R_HUMAN,5078.74
362,tianeptine,AA1R_HUMAN,5095.21
363,propyl gallate,AA1R_HUMAN,5095.57
364,isoquercetin,AA1R_HUMAN,5099.53
365,malvidin,AA1R_HUMAN,5152.65
366,eicosapentaenoic acid ethyl ester,AA1R_HUMAN,5204.22
367,magnesium l-aspartate,AA1R_HUMAN,5232.96
368,nicotinamide riboside,AA1R_HUMAN,5252.57
369,theophylline,AA1R_HUMAN,5272.57
370,coluracetam,AA1R_HUMAN,5293.38
371,3beta-acetoxy-5alpha-androstan-17-one,AA1R_HUMAN,5304.62
372,octadecatetraenoic acid,AA1R_HUMAN,5336.86
373,kaempferide,AA1R_HUMAN,5346.26
374,pepsin,AA1R_HUMAN,5380.11
375,silychristin,AA1R_HUMAN,5388.90
376,valerenic acid,AA1R_HUMAN,5441.42
377,nicotinamide riboside chloride,AA1R_HUMAN,5460.34
378,5-methoxytryptamine,AA1R_HUMAN,5462.04
379,dan-shen,AA1R_HUMAN,5495.23
380,isopropyl myristate,AA1R_HUMAN,5518.45
381,11-keto-beta-boswellic acid,AA1R_HUMAN,5542.51
382,myricetin,AA1R_HUMAN,5577.51
383,hexadecenoic acid,AA1R_HUMAN,5681.48
384,turkesterone,AA1R_HUMAN,5694.74
385,xanthophyll,AA1R_HUMAN,5760.38
386,tributyrin,AA1R_HUMAN,5772.78
387,red squill,AA1R_HUMAN,5815.80
388,3-n-butylphthalide,AA1R_HUMAN,5831.01
389,centellin,AA1R_HUMAN,5837.39
390,n-methyltyramine hcl,AA1R_HUMAN,5895.23
391,p-6,AA1R_HUMAN,5917.38
392,quercetin,AA1R_HUMAN,5924.70
393,piperlongumine,AA1R_HUMAN,5969.32
394,yohimbine hcl,AA1R_HUMAN,5989.00
395,tauroxicum,AA1R_HUMAN,6000.40
396,n-acetyl-cysteine,AA1R_HUMAN,6019.53
397,norepinephrine,AA1R_HUMAN,6029.66
398,ibutamoren,AA1R_HUMAN,6055.81
399,zingiberene,AA1R_HUMAN,6129.72
400,vanilla,AA1R_HUMAN,6156.47
401,taurocholic acid,AA1R_HUMAN,6188.91
402,bergamot oil,AA1R_HUMAN,6252.59
403,taxifolin,AA1R_HUMAN,6302.60
404,luteolin-7-o-glucoside,AA1R_HUMAN,6339.49
405,lotus,AA1R_HUMAN,6342.82
406,gamma oryzanol,AA1R_HUMAN,6392.18
407,folic acid,AA1R_HUMAN,6430.25
408,nicotinoyl-gaba,AA1R_HUMAN,6444.36
409,lycopene,AA1R_HUMAN,6465.95
410,acacetin,AA1R_HUMAN,6564.63
411,tetracosenoic acid,AA1R_HUMAN,6622.93
412,neurosyn,AA1R_HUMAN,6639.31
413,epf,AA1R_HUMAN,6639.97
414,triterpenoids,AA1R_HUMAN,6671.00
415,fisetin,AA1R_HUMAN,6681.71
416,apigenin,AA1R_HUMAN,6800.86
417,arginine malate,AA1R_HUMAN,6827.87
418,piceid,AA1R_HUMAN,6839.95
419,xanthinol nicotinate,AA1R_HUMAN,6875.91
420,uridine 5'-monophosphate disodium salt,AA1R_HUMAN,6879.13
421,l-arginine aspartate,AA1R_HUMAN,6975.40
422,d-alpha-tocotrienol,AA1R_HUMAN,6976.69
423,sodium starch glycolate,AA1R_HUMAN,7093.51
424,17-hydroxydocosahexaenoic acid,AA1R_HUMAN,7104.80
425,hemicellulase,AA1R_HUMAN,7115.43
426,l-carnitine orotate,AA1R_HUMAN,7147.15
427,iron picolinate,AA1R_HUMAN,7150.32
428,resolvin d5,AA1R_HUMAN,7171.00
429,5a-hydroxy laxogenin,AA1R_HUMAN,7247.92
430,halodrol,AA1R_HUMAN,7315.50
431,zinc picolinate,AA1R_HUMAN,7350.42
432,sorbitan oleate,AA1R_HUMAN,7363.10
433,salvianolic acid b,AA1R_HUMAN,7445.22
434,chrysin,AA1R_HUMAN,7450.42
435,potassium benzoate,AA1R_HUMAN,7456.15
436,14-hydroxydocosahexaenoic acid,AA1R_HUMAN,7466.57
437,muscarine,AA1R_HUMAN,7467.59
438,thioproline,AA1R_HUMAN,7482.73
439,indigo,AA1R_HUMAN,7560.29
440,7-hydroxymatairesinol,AA1R_HUMAN,7560.72
441,miliacin,AA1R_HUMAN,7576.77
442,taurochenodeoxycholic acid,AA1R_HUMAN,7599.25
443,n-acetyl-l-cystine,AA1R_HUMAN,7691.88
444,xos,AA1R_HUMAN,7697.57
445,beta-pinene,AA1R_HUMAN,7711.32
446,igf,AA1R_HUMAN,7745.33
447,6-keto-diosgenin,AA1R_HUMAN,7775.95
448,ascorbigen,AA1R_HUMAN,7797.15
449,potassium fumarate,AA1R_HUMAN,7824.86
450,dioscin,AA1R_HUMAN,7873.47
451,tricreatine malate,AA1R_HUMAN,7915.88
452,hyperforin,AA1R_HUMAN,7917.49
453,elm,AA1R_HUMAN,7926.87
454,pseudoprotodioscin,AA1R_HUMAN,7938.03
455,lactucopicrin,AA1R_HUMAN,7940.27
456,kava kava,AA1R_HUMAN,8035.73
457,oleuropein aglycone,AA1R_HUMAN,8144.33
458,malic acid,AA1R_HUMAN,8170.39
459,dicreatine malate,AA1R_HUMAN,8170.78
460,copper citrate,AA1R_HUMAN,8232.28
461,tudca sodium,AA1R_HUMAN,8251.29
462,mk-677,AA1R_HUMAN,8303.19
463,andarine,AA1R_HUMAN,8319.92
464,p5p,AA1R_HUMAN,8325.42
465,cannabis,AA1R_HUMAN,8400.96
466,sesamin,AA1R_HUMAN,8429.15
467,lysozyme chloride,AA1R_HUMAN,8442.29
468,magnesium orotate,AA1R_HUMAN,8704.27
469,aurantium,AA1R_HUMAN,8750.54
470,pyridoxal 5-phosphate,AA1R_HUMAN,8774.83
471,glycochenodeoxycholic acid,AA1R_HUMAN,8807.37
472,creatinol-o-phosphate,AA1R_HUMAN,8814.55
473,cetyl caprate,AA1R_HUMAN,8823.24
474,11-oxo,AA1R_HUMAN,8869.54
475,cbga,AA1R_HUMAN,8894.14
476,l-citrulline,AA1R_HUMAN,8942.01
477,arjunolic acid,AA1R_HUMAN,9050.96
478,taurodeoxycholic acid,AA1R_HUMAN,9076.34
479,fibroblast growth factor,AA1R_HUMAN,9095.86
480,amylase,AA1R_HUMAN,9168.20
481,l-citrulline monohydrate,AA1R_HUMAN,9218.46
482,tricreatine citrate,AA1R_HUMAN,9225.53
483,caprylic acid triglyceride,AA1R_HUMAN,9247.22
484,fenchol,AA1R_HUMAN,9260.51
485,cetyl stearate,AA1R_HUMAN,9349.17
486,pantotheine,AA1R_HUMAN,9366.41
487,2'-deoxyguanosine,AA1R_HUMAN,9368.29
488,pyrroloquinoline quinone disodium salt,AA1R_HUMAN,9408.34
489,monosodium l-glutamate,AA1R_HUMAN,9412.26
490,bala,AA1R_HUMAN,9425.64
491,hydroxypropyl-beta-cyclodextrin,AA1R_HUMAN,9526.81
492,bacoside a3,AA1R_HUMAN,9538.46
493,progenin iii,AA1R_HUMAN,9541.58
494,myricitrin,AA1R_HUMAN,9550.93
495,allin,AA1R_HUMAN,9569.23
496,gamma-terpinene,AA1R_HUMAN,9578.19
497,n-phenylethyl dimethylamine citrate,AA1R_HUMAN,9594.43
498,methylparaben,AA1R_HUMAN,9638.83
499,turmerone,AA1R_HUMAN,9728.26
500,magnesium ascorbyl phosphate,AA1R_HUMAN,9767.62
501,biopterin,AA1R_HUMAN,9800.43
502,5;7-dimethoxyflavone,AA1R_HUMAN,9811.66
503,petasin,AA1R_HUMAN,9826.03
504,gravel,AA1R_HUMAN,9884.24
505,anthocyanins,AA1R_HUMAN,9900.57
506,mannanase,AA1R_HUMAN,9908.57
507,arginine ketoisocaproate,AA1R_HUMAN,9984.25
508,andrographolide,AA1R_HUMAN,10001.27
509,protodioscin,AA1R_HUMAN,10002.02
510,guaiol,AA1R_HUMAN,10028.59
511,propylparaben,AA1R_HUMAN,10032.13
512,asiaticoside,AA1R_HUMAN,10042.44
513,monacolin k,AA1R_HUMAN,10107.91
514,shellfish,AA1R_HUMAN,10114.04
515,ec,AA1R_HUMAN,10222.76
516,chitinase,AA1R_HUMAN,10233.74
517,sitostanol,AA1R_HUMAN,10238.12
518,silydianin,AA1R_HUMAN,10241.54
519,citrulline hydrochloride,AA1R_HUMAN,10313.74
520,docosahexaenoic acid ethyl ester,AA1R_HUMAN,10342.84
521,melatonin,AA1R_HUMAN,10369.55
522,oleuropein,AA1R_HUMAN,10390.23
523,magnesium glycerophosphate,AA1R_HUMAN,10413.54
524,thymol,AA1R_HUMAN,10421.52
525,vitamin b-6,AA1R_HUMAN,10443.84
526,ivy,AA1R_HUMAN,10490.01
527,artesunate,AA1R_HUMAN,10536.30
528,magnesium fumarate,AA1R_HUMAN,10562.53
529,bile,AA1R_HUMAN,10623.86
530,n-methyltyramine,AA1R_HUMAN,10653.28
