# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
219,tetrahydrocannabivarin,T2R38_HUMAN,952.55
220,tannase,T2R38_HUMAN,952.99
221,eicosatetraenoic acid,T2R38_HUMAN,960.21
222,d-alpha-tocopheryl acetate,T2R38_HUMAN,965.20
223,higenamine hcl,T2R38_HUMAN,971.96
224,benzalkonium chloride,T2R38_HUMAN,971.99
225,s-adenosyl-methionine,T2R38_HUMAN,974.06
226,mk-7,T2R38_HUMAN,980.90
227,valencene,T2R38_HUMAN,982.39
228,p73,T2R38_HUMAN,993.46
229,serotonin,T2R38_HUMAN,1009.39
230,progenin iii,T2R38_HUMAN,1015.88
231,nmn,T2R38_HUMAN,1019.49
232,nas,T2R38_HUMAN,1024.75
233,l-methylfolate magnesium,T2R38_HUMAN,1026.20
234,phytol,T2R38_HUMAN,1026.92
235,dehydroabietic acid,T2R38_HUMAN,1035.46
236,methylcobalamin,T2R38_HUMAN,1035.51
237,epsilon-viniferin,T2R38_HUMAN,1037.09
238,tocophersolan,T2R38_HUMAN,1037.30
239,chlorophyllins,T2R38_HUMAN,1040.96
240,phloridzin,T2R38_HUMAN,1043.12
241,bilobalide,T2R38_HUMAN,1047.89
242,vitamin,T2R38_HUMAN,1052.54
243,zeaxanthin,T2R38_HUMAN,1052.98
244,elm,T2R38_HUMAN,1054.78
245,boron aspartate,T2R38_HUMAN,1072.22
246,lignans,T2R38_HUMAN,1084.64
247,dan-shen,T2R38_HUMAN,1113.25
248,zisu,T2R38_HUMAN,1117.21
249,thioproline,T2R38_HUMAN,1132.45
250,benfotiamine,T2R38_HUMAN,1139.83
251,sequoiaflavone,T2R38_HUMAN,1147.80
252,palmitoylethanolamide,T2R38_HUMAN,1152.23
253,capsaicin,T2R38_HUMAN,1158.56
254,arjunolic acid,T2R38_HUMAN,1177.68
255,sfb,T2R38_HUMAN,1182.80
256,c3g,T2R38_HUMAN,1188.57
257,phyllemblin,T2R38_HUMAN,1190.10
258,s-adenosyl-l-methionine tosylate,T2R38_HUMAN,1192.73
259,p-6,T2R38_HUMAN,1206.09
260,folinic acid,T2R38_HUMAN,1209.71
261,osa,T2R38_HUMAN,1209.83
262,d-beta-tocotrienol,T2R38_HUMAN,1211.24
263,protodioscin,T2R38_HUMAN,1223.56
264,yohimbine hcl,T2R38_HUMAN,1228.14
265,oleocanthal,T2R38_HUMAN,1231.33
266,coluracetam,T2R38_HUMAN,1236.47
267,lutein zeaxanthin,T2R38_HUMAN,1251.81
268,bismuth subsalicylate,T2R38_HUMAN,1268.85
269,ursolic acid,T2R38_HUMAN,1293.68
270,gamma-tocopherol,T2R38_HUMAN,1293.73
271,phytofluene,T2R38_HUMAN,1304.18
272,2-phenyl-benzo[h]chromen-4-one,T2R38_HUMAN,1308.84
273,sotetsuflavone,T2R38_HUMAN,1320.15
274,nobiletin,T2R38_HUMAN,1322.96
275,ethyl 3-[[(4-chlorophenyl)methyl-[(5-nitrothiophen-2-yl)methyl]amino]methyl]pyrrolidine-1-carboxylate,T2R38_HUMAN,1322.98
276,dihydroberberine,T2R38_HUMAN,1332.30
277,potassium benzoate,T2R38_HUMAN,1340.98
278,ace,T2R38_HUMAN,1343.15
279,riboflavin 5'-phosphate sodium,T2R38_HUMAN,1343.90
