# UniProt_ID,P23560
# Target_name,BDNF_HUMAN Neurotrophic factor BDNF precursor form
# Molecules_screened,1687
# Generated_at,2025-08-21T21:37:39
#
Rank,Drug Name,Target Name,Binding Score
271,ethyl 3-[[(4-chlorophenyl)methyl-[(5-nitrothiophen-2-yl)methyl]amino]methyl]pyrrolidine-1-carboxylate,BDNF_HUMAN,3288.15
272,galangin,BDNF_HUMAN,3325.12
273,cyclodextrin,BDNF_HUMAN,3350.35
274,saponin,BDNF_HUMAN,3371.28
275,triacetyluridine,BDNF_HUMAN,3387.66
276,cbdv,BDNF_HUMAN,3416.28
277,6-paradol,BDNF_HUMAN,3428.43
278,3;4-divanillyltetrahydrofuran,BDNF_HUMAN,3464.90
279,intrinsic factor,BDNF_HUMAN,3513.39
280,ipriflavone,BDNF_HUMAN,3520.06
281,vitamin,BDNF_HUMAN,3520.60
282,diosmetin,BDNF_HUMAN,3562.74
283,delphinidin-3-rutinoside,BDNF_HUMAN,3586.62
284,d-beta-tocotrienol,BDNF_HUMAN,3614.52
285,silychristin,BDNF_HUMAN,3616.86
286,valencene,BDNF_HUMAN,3681.25
287,bismuth subsalicylate,BDNF_HUMAN,3687.75
288,probiotic,BDNF_HUMAN,3709.62
289,schizandrol a,BDNF_HUMAN,3748.23
290,s-acetyl-l-glutathione,BDNF_HUMAN,3759.78
291,epiandrosterone,BDNF_HUMAN,3760.94
292,pepsin,BDNF_HUMAN,3776.35
293,hop,BDNF_HUMAN,3789.17
294,isopropyl myristate,BDNF_HUMAN,3794.13
295,alpha-bisabolol,BDNF_HUMAN,3810.36
296,matrix,BDNF_HUMAN,3822.60
297,hyperforin,BDNF_HUMAN,3824.03
298,s-adenosyl-l-methionine tosylate disulfate,BDNF_HUMAN,3847.68
299,parthenium,BDNF_HUMAN,3904.67
300,hypericum,BDNF_HUMAN,3940.25
301,lignans,BDNF_HUMAN,3952.15
302,kaempferide,BDNF_HUMAN,3982.29
303,rs5,BDNF_HUMAN,4036.54
